Gene,FC Fat tissue vs TLS,P-value Fat tissue vs TLS,FC in situ vs TLS,P-value in situ vs TLS,FC Lactiferous duct vs TLS,P-value Lactiferous duct vs TLS,FC Necrosis vs TLS,P-value Necrosis vs TLS,FC Tumor vs TLS,P-value Tumor vs TLS,FC Stroma vs TLS,P-value Stroma vs TLS,FC Lymphocyte vs TLS,P-value Lymphocyte vs TLS,FC Vessels vs TLS,P-value Vessels vs TLS
TFAP2B,0.9999889907031658,0.9771342242022071,0.9992821083443465,0.9997868980479243,0.9933631055469413,0.9999942203312591,0.9999947809028646,0.9780121789454091,0.9999964614191612,0.9155990331013931,0.9988604833535111,0.9866080611069292,1.000001370481957,0.08795808803114366,0.9999975927234225,0.8799389658413799
TFAP2C,0.8189627633298912,0.9999999980313311,0.7176783325962389,0.9999999841713443,0.74066833408319,0.9999999998627077,0.7435376763098098,0.9999999999997136,0.5182466747852308,1,0.8693371060564118,0.9999999996559115,1.0000732363846123,0.13626234405900692,0.9962549542894743,0.9946983275816116
TFAP2E,1,0.6447192521143443,1,0.7914008484871988,1,0.7389325353773788,1,0.6751546782999698,1,0.666520704684523,1,0.34062894477585415,1,0.5237467998967094,1,0.6693980822018043
TFAP4,0.9402952813901331,0.9994207018439343,0.9749299626952703,0.9934072642645329,0.9991378060689796,0.910824064202327,0.9755017356218442,0.9738803064223739,0.9568519015422714,0.9997693299118,0.9807176931752913,0.8096483378708652,0.9920923688719288,0.33466705218046877,0.9999261576261601,0.6701712067584946
TFB1M,1.0194678590656918,0.4455539581339385,1.0555168426206367,0.4371432274519157,1.0922345665903206,0.19476788786734178,1.029375304464214,0.4391009622085309,0.995523058972243,0.7745708968427806,1.0493876693418114,0.025506494648048036,1.052381389002776,0.01603878940280373,1.0874466396690654,0.14731174417302578
TFB2M,0.9877743643918834,0.3496789207811609,0.9848737980474604,0.8986783217153869,1.0322109971014721,0.008089018961112707,1.013956907711973,0.13011043204977266,0.8396546026007765,0.9999999992769845,0.9946648207984818,0.24042212008116334,0.9725248404291559,0.6180517739400808,1.0311749430192854,0.09147237499808784
TFCP2,0.9515777932538897,0.9834629506781107,1.010382295293131,0.5497016136546807,1.0396225518377786,0.3303996603981606,1.0070431906131978,0.41824887838260427,0.9700863265699151,0.9680796794634132,1.0099670811725472,0.361858935617564,0.980381991067027,0.7937126903747879,1.0615735911264756,0.06944337956387875
TFCP2L1,0.7796975743456384,0.9999999999990336,0.9083341426062478,0.999999203592596,0.9218219462847168,0.9999978003694131,0.7904054693224664,0.9999999996085333,0.695299174941347,0.9999999999999901,0.7592192027628214,0.9999999999999992,1.0000390637078633,0.007225477266864605,0.99812193988608,0.9999252724998526
TFDP1,0.8763056176994195,0.9999955894500778,1.0999685367451233,0.5298705673207221,1.1198580473478992,5.807421422338608E-4,1.0969385778586909,0.2612296320975142,0.7081115097854878,0.9999999999999966,0.902779439594906,0.9999963557930094,0.932402871973363,0.9880230696389083,1.1198921728189533,1.5594455296192932E-5
TFDP2,0.699763138835121,0.9999999999906861,0.685460306933298,0.9999995702666379,1.0636134341341175,0.6015659353827227,0.7268110239318012,0.9999992680623104,0.6848575755489763,0.9999999999996959,0.7044646785570734,0.9999999999999841,1.1006504605723237,0.006227563157777858,1.058729776352933,0.5978232520384331
TFE3,0.8316950895659796,0.9941224726688224,0.8585682521848865,0.9859395799446401,0.8176794659675626,0.9982202807380901,0.8864684085938329,0.9774915656841713,0.7636359161541557,0.9999999999073864,0.73749259850785,0.9999999999968276,0.6943393160628711,0.9999999999997302,0.7252835928560005,0.9999968500879377
TFEB,1.4649737447121685,1.9926525023465781E-10,1.4974475624512713,1.4159921293299026E-6,1.2900743405813824,2.590073886865745E-5,1.3174028081731435,1.8173738191296685E-5,1.504191268856374,1.0031701923177323E-10,1.171019038270672,0.002609323175855329,1.1177732996380743,0.00487177980503602,1.228742077839196,1.1966846125464598E-4
TFEC,0.907586666736924,0.9982721405949614,1.0008266409781859,9.30429896296684E-4,1.0007530175316024,0.0146531894231476,0.9680137282404924,0.8017750471215993,1.000864787074317,4.847354700460557E-6,0.9870456511601429,0.2983229352930191,0.9334070675610854,0.9980566497525124,1.0006846398179943,0.1260164155592036
TFF1,1,0.38157490345729705,1,0.8260580538342845,1,0.9456683549124503,1,0.36897606074045275,1,0.21829336484946021,1,0.1463030211597003,1,0.21472113516964028,1,0.28470210777020677
TFF2,1,0.5777495751539979,1,0.7615785316322534,1,0.7445685328990881,1,0.5204846203515715,1,0.9071146654275762,1,0.5357250950988243,1,0.573371523115539,1,0.7737649155949038
TFF3,0.9872960050054918,0.8959463588992429,1.0000516659439367,0.15351642289707712,0.7861104007707341,0.9999937463164217,1.0000400053692,0.33317464667879687,1.0000649609109227,0.09338501799848653,0.9874833113194486,0.8615112506748221,0.9939873910485,0.48614201437654186,0.9324718924809018,0.9989600410306901
TFG,0.8920806072851433,0.9932514022165647,0.8629428983966188,0.997174690205774,1.0876036342723954,8.298311038956957E-4,0.9418433005832114,0.9532840359410467,0.7449009926653082,0.9999999998584198,0.9362000428639303,0.9650397033164085,0.9995951040591415,0.2706154653183942,1.0862626324480869,0.008611956226123062
TFIP11,1.063191479563528,0.06552000316749258,0.967955389418196,0.6604101071990716,0.8860618877422222,0.8184538575207082,0.9491618931201816,0.42784807584380524,0.9273150935379608,0.9055524447802833,0.8006795166196027,0.9997880401260344,0.8311478988276758,0.9850740178250333,0.8649639803718121,0.9814870987230221
TFPI,0.903877475107409,0.9970415547413193,1.0103310304941588,0.1733601396968778,1.0080122636505628,0.5806163456811129,1.0105412284954383,0.019617688232482926,1.0051722988062823,0.017751063119136032,0.988999829443462,0.4246433011608379,0.9410403345207803,0.9988269038079717,0.7174828669671602,0.9999999972078999
TFPI2,1,0.5534981074877816,1,0.7415575929028633,1,0.6906751082081739,1,0.5140426221135233,1,0.5084266872132306,1,0.40947590910955994,1,0.5332827040396407,1,0.6465195396196269
TFPT,0.8907948062285358,0.9968904990227598,0.8753890423337187,0.9993524476753944,0.9982322344307275,0.8105896183337999,0.7180749118792277,0.9999999936720132,0.7120977916821443,0.9999999999999944,0.6276696609872033,0.9999999999999999,0.6947196586418479,0.9999999999996959,0.8748252093407843,0.9999514717816648
TFR2,0.9999818104445548,0.4975545058025072,0.9996420420013692,0.9072517335906258,0.9999693040473094,0.47166206243509934,0.9791915966871473,0.9909637706069858,0.975592398720336,0.9996755594114711,0.9743087836981521,0.999597627674138,0.9901551997725214,0.6778857404001448,0.9996307114689779,0.7387207551366771
TFRC,1.0033007693385416,0.5382540233186724,0.8682823255531977,0.769002706384841,1.3767199965068524,2.6450101075437482E-11,0.8887642423354454,0.9647230520850215,0.7623368807742813,0.9999987605183547,1.1370561646545514,0.004120749359343239,1.0097366461408355,0.34364552928349745,1.3728403000653007,5.311302090663811E-10
TG,1,0.49148111211689527,1,0.709837668688575,1,0.8840897999480306,1,0.5932194904990283,1,0.616592854370799,1,0.5028398211477972,1,0.27618372258416646,1,0.6784095815995532
TGDS,0.9556080334575868,0.9959776557014302,1.0064512872154538,0.4502983863453193,1.0069532715654863,0.3648011205385585,0.9891583693976913,0.8074155280717031,0.9724570940041078,0.9749754303775816,0.9974301109836736,0.062448534678387166,1.0070462299828449,0.01670435040250163,1.007056580648088,0.02270740410718819
TGFA,0.994517129751266,0.9815542173177388,0.9999396248620557,0.9639739808254887,0.9999038532504659,0.9910024802672881,0.9999913992741238,0.7684675379560967,0.9678491473394731,0.999999997644711,0.9963265316347608,0.8669425119243616,1.0000001631684214,0.4142261503576723,0.9999914300611249,0.4352403882039747
TGFB1,1.5409720384477408,8.617224561257176E-7,1.5263006821987894,1.459875554474366E-4,1.7353713758627365,2.0687480588866335E-10,0.9955579093066036,0.3757300915330289,1.7367668986166733,1.6617625747920436E-13,0.8388572784580164,0.9689478985445192,0.644791622067075,0.9999879753843481,0.6744855274453037,0.9987933361220813
TGFB1I1,1.0027767692892422,0.6931152235085127,1.003818219615046,0.7570067031151045,0.7633500988036708,0.9989701103529468,1.0149939421153622,0.0020733702316904803,0.9419739298461471,0.7073197982185372,0.556355422565232,1,0.7889116277369812,0.999995912850975,0.34633771132053986,1
TGFB2,0.999917961236635,0.9925268184281392,0.9997812685745153,0.999815454616476,0.9998860027923082,0.9944137423838202,0.9998935983327679,0.995978233631024,0.9767301500092699,0.9999999689777461,0.9781992885611082,0.9999970525953094,0.9999931977051321,0.7170850802331054,0.9999398152602301,0.9920572717497155
TGFB3,0.8986902342088533,0.9428877184256138,0.9505726021446828,0.817971386037738,0.9068054176714614,0.9402257890685107,1.0034032935347212,0.003831910379259877,0.9774740253911344,0.30401997885049026,0.8319780384887459,0.999998735425655,0.8197213032020816,0.9999910231398401,0.6704469012637095,0.9999999992899452
TGFBI,0.5599798693533088,0.9999574039829328,0.8130655840324565,0.8431736734995745,0.935960254269371,0.8738597802895371,0.22279057681189823,0.999999999999998,0.550765283810829,0.9998852465256829,0.2903289486540166,0.9999999999999999,0.3192717794213545,0.9999999999533201,0.2420964890587891,0.9999999999999992
TGFBR1,0.9405060177250832,0.9160897576279871,1.0078887473323348,0.9053944935675318,1.0320351541113681,0.5806163456811129,1.0362124005651001,0.44232554728124795,0.8587472440359075,0.9999999988615597,0.9234348765932,0.9999362465263879,0.9320660755039812,0.9988269038079717,1.0083579683054407,0.5194194071481865
TGFBR2,0.9614057590131716,0.7198332328740282,1.2722875705775445,1.0313889401580504E-9,1.2725700877916952,1.2734688078871103E-6,1.257872108645224,3.063662741057171E-9,1.2459323171377594,5.349515842046982E-9,1.2222944706220058,5.843216448240761E-8,1.0659894447776637,0.17101960874170202,1.080092512220788,0.08340045968655116
TGFBR3,0.7858884418861635,0.9999997731938398,1.0304401321548806,0.20643938875057088,0.9881183056942389,0.6461965802052754,1.0054461450049539,0.4780016379835462,0.9884256282681989,0.4877743666265354,1.0014682034386064,0.4471690258894603,1.0313777318432624,1.1291065172440464E-4,0.9882520420207939,0.8406709146945317
TGFBR3L,0.9999982098005228,0.6277151318573512,0.9999823165967849,0.9261978069736708,0.9999959525652301,0.8173965325199213,0.999992461370821,0.8631984516233097,0.9968134988663787,0.9953513438440262,0.9933753330942596,0.9940791474731456,1.0000010251034697,0.13178485424667127,0.9999936741174162,0.7506877943351999
TGFBRAP1,0.9540707683376985,0.8564646421592219,0.9231478527158093,0.8842173403781265,1.0692418481402155,0.2439161060413468,0.98296361975208,0.556060712321367,0.8543826949094918,0.9999994625458706,0.9568424384890738,0.9329013437188762,0.9256687846078943,0.9524801752047671,1.0687408018123108,0.08083239954598827
TGIF1,0.9350968869294378,0.940022967942201,0.8475048199893119,0.987633880194969,0.9264666035927307,0.9653551154913956,0.8980673907533469,0.9974234562426827,0.8274345339824847,0.9999999945201417,0.9383295070014527,0.9711680378228068,0.9750675447930328,0.4780016591687649,1.0412763503916522,0.01929456453544275
TGIF2,1.141330485871912,0.005545054672675351,0.8324767853840992,0.9954250682567076,1.0957036454916005,0.07577197263964003,1.0988298705116653,0.0459230499500891,0.8794768555142874,0.999660648722013,1.0396745196935961,0.2625601535216683,0.9501465347380259,0.9370468883215524,1.1031806492992466,0.020104099489923418
TGM1,1.0000909459970846,0.07485530460279158,0.9998548629442328,0.8809366502469854,0.9999686266734006,0.92422802736036,0.9856195949921964,0.9536824843571133,0.9616414934314055,0.9999999703555902,0.9589582916408664,0.9999991893471434,0.9844726510123867,0.7030894599633121,0.9999013446129564,0.7475917909807521
TGM2,0.8170340364200077,0.9999906012724248,0.9941864794724394,0.9989394298103075,0.9994993239191866,0.8992352936160447,0.8687753560562433,0.9999301650044117,0.8947499384429651,0.999614968452414,0.7220377528962627,0.9999999999958383,0.35517363065870994,1,0.24766444821685446,1
TGM5,1.0000021282601157,0.5810276400851595,0.9996235663766542,0.999948550794901,0.9998905657357848,0.998017683668308,0.9999760643806039,0.986181067365389,0.9820240157839755,0.9999999757286304,0.996504196177558,0.9940182292332376,1.0000037274711409,0.03924525065991605,0.9999955502689462,0.7901597064344663
TGOLN2,0.5082865502024129,0.9999999999989752,1.29804334783479,0.005203688491363761,1.1019745814157673,0.18676597744894166,0.5342799438567823,0.9999999959960524,1.4318092081704858,1.2902404055673809E-9,0.883640441419511,0.9607365826369999,1.9737773189873125,4.186056998578762E-16,1.1239638682439312,0.10311661216124207
TGS1,0.904992593152448,0.9997490813195339,1.0298975642831785,0.1691261345925904,1.0595817189079924,0.055805671626916284,0.9594411437525404,0.5944737380137395,0.9480865935385143,0.9981065268448189,1.0064050717338346,0.11438846547099114,1.0234982000743256,0.025996167520627715,1.066261518632616,0.002201923645004702
THADA,0.977224726237885,0.5785564998915148,0.8387821933076501,0.9959186336585171,0.8886642647120617,0.9626421269444395,0.9869987990391648,0.7266722623707995,0.9238783216196197,0.9886456949204028,0.9152908596427916,0.993914607733344,0.9543753695045543,0.8118562846903625,1.0743799617612406,0.13316584999124245
THAP1,0.9784840755226502,0.829499173118592,0.9997042966293042,0.8926505597201531,1.0000506380032288,0.09401495366640372,0.9930085244827227,0.7757968378657838,0.972984464625424,0.9975038037855308,0.9884071434192128,0.40157006374415233,0.9980842611952966,0.23536410838676697,0.9999915881260755,0.3980864167871473
THAP10,1,0.4076867388318071,1,0.7935041064558335,1,0.42828088325789604,1,0.2925404400241902,1,0.8614077519199258,1,0.1581011546271737,1,0.21058782736552234,1,0.3433654033787229
THAP11,1.0030737385260489,0.644249480288572,0.9811005561191737,0.6765216972976305,0.9930663420628316,0.5380834947190933,1.0441132623010119,0.15492663090178072,0.9263120938144386,0.9970415547413193,1.0322855277050234,0.2494127559169174,0.962340802135595,0.861039805435023,1.02882874198876,0.11580156003408434
THAP12,0.9129611817097064,0.9548590143524881,1.018463076724318,0.15155358709240213,1.0438852527081768,5.807421422338608E-4,0.949960149517635,0.4246433011608379,0.877994536319924,0.9999779232579623,0.9940990407754992,0.17520426035131345,0.9848680330943252,0.20862598866465287,1.043333408759919,0.0025463902755707515
THAP12P7,1,0.6045043870979242,1,0.41294982253024504,1,0.21185339497735833,1,0.39766990615531855,1,0.35108633421343716,1,0.2770924211312123,1,0.27906643000547127,1,0.47292088315693037
THAP2,0.9904852679187568,0.4166532570951937,1.0000070436196211,0.8135372672826192,1.0001703370900075,0.7060118033691831,1.0000942663290475,0.19258241031500598,0.9769322769202176,0.9975195946217019,0.9891965244978292,0.8017770958391662,0.9987202396154833,0.11438622199589764,1.00028969616939,0.10541453320356185
THAP3,0.980094949154871,0.7334275770368459,0.9691478770285299,0.7302055132368578,0.9229301655876506,0.9638253701483763,0.9594442332033277,0.8856115345290089,0.9748134102543575,0.9055524447802833,0.9192169290098732,0.9983822177534595,0.9584100416337819,0.7770172396795738,0.9418365279153642,0.956629521143132
THAP4,0.8809466299806601,0.9395347530353868,0.8155600086683494,0.9998540124445525,0.9117500622330497,0.92422802736036,0.7327028235281714,0.9999999667712672,0.7838411379900107,0.9999999741623471,0.6819677560258888,0.9999999999999994,0.995353072134847,0.43427171843452245,0.9856177605184494,0.702438452350472
THAP5,0.9965575374438431,0.747986055095489,0.9689286918124771,0.9161349233435331,1.0213288575211743,0.2872684271914164,1.015722366038727,0.3757300915330289,0.9645146819001225,0.9943898195259429,1.0097650299350571,0.18052556937822462,1.0075436182498887,0.19936512754201324,1.0435278337708795,0.045354153396435705
THAP5P1,1,0.7099211115192636,1,0.8384437393764294,1,0.7011041928032731,1,0.7279701200587081,1,0.6186683338345706,1,0.6342584317064976,1,0.24835000255423906,1,0.7696090889221463
THAP6,0.9473432874936318,0.9959287039061648,1.038633546282047,0.21122332658520054,1.0389355348853089,0.13129011221033465,0.9978326794655762,0.48451572263634796,0.9785238624906506,0.7427410423548544,1.0125547640998103,0.05664547129208645,1.0138242543339537,0.031339310689259776,1.0395846209766917,0.016327763358726533
THAP7,1.156683383372516,0.0029584452586806677,0.9629421897231579,0.8996584910980457,0.91048449463446,0.9682553234323471,1.0812051302985697,0.11203525923498792,0.9675679424254103,0.9233944451803138,0.8916218387533045,0.9988583681492704,0.9707014852297727,0.9154581907674064,1.0611278880533854,0.34920986092560646
THAP7-AS1,0.9827493358072545,0.7913762564206837,0.9646267711505381,0.9967104691010498,0.9986714472243142,0.8778773820862238,0.9939062362219536,0.8450736023054928,0.9549693940256014,0.9999949658042155,0.9528855847674831,0.9999413431561877,0.9720943797653377,0.9528837972809272,0.9999152808863745,0.8650040051302874
THAP8,0.9687403931184562,0.5236260297191467,0.8781442594881976,0.9973613488209975,0.9985314516773893,0.406021671912904,0.8741193669130259,0.9952424870717909,0.8575982042075981,0.9999989013289874,0.8719400743721828,0.9999888186745766,0.9501160569467315,0.6102362454774382,0.9035592343004105,0.9621634217634013
THAP9,1,0.7528731444691179,1,0.7941259694508345,1,0.7182432366156782,1,0.6898017647097686,1,0.8597704940330776,1,0.6443960009972933,1,0.2999335096584118,1,0.5474239546159535
THAP9-AS1,1.0554576784699323,0.03961154476628612,1.0372608223791515,0.3560001031960058,1.081707175659036,0.07166302937384977,1.0397597340089169,0.09038718959357897,0.9304621386869365,0.9972210593294796,1.09556244708315,1.7853432217464544E-5,1.0914209082821258,5.834795029266026E-4,1.1449826988380578,7.746933167817072E-4
THBD,0.9883867771111252,0.5187419346302932,1.0528680883147563,0.0048802927985389785,1.0529090620406787,9.882645315852723E-4,1.0528091390440666,0.007559679327983657,1.0423932057851515,7.916237615948959E-4,1.02721136951132,0.008790176975688275,0.9250109139479759,0.9998423372407838,0.823952684375581,0.9999954988803976
THBS1,0.5065343992107127,1,0.9986140061850847,0.9760970688535572,0.9452113234727874,0.9983289675171135,0.9998826573220705,0.7334275770368459,0.8219689213628271,0.9999999777554076,0.48636123388363117,1,1.0000095759774759,0.08328018172950995,0.6986186027168879,0.9999999999945549
THBS2,0.9979376653477234,0.9257186799516761,0.9997815133704868,0.5650429602580648,1.000300728622571,2.5666057896717447E-4,1.0002181648360249,0.0826577484783981,0.7932318060868015,0.9999383327675692,0.38564562202644626,1,0.9797204233641522,0.9312936249709868,0.7044527836758815,0.9999998615569018
THBS3,0.9914397674990176,0.7414209788046997,0.6260341458591734,0.9999995579068961,1.006021774225546,0.9154752550788475,1.103077495512689,0.22542910315721942,0.7022061047476308,0.999999999981325,0.5941078166915491,1,1.1175541460639455,7.398594028370037E-5,0.8761707123413854,0.9934954519382017
THBS4,0.9585486317152784,0.9661407860673155,1.0000510711482238,0.24560660320875025,1.0000153239612546,0.47166206243509934,1.0000642422605452,0.04586605634612433,0.9991053505533054,0.10111313279883659,0.9988436071519879,0.2032320139057411,0.9989717620623242,0.5146708805360498,0.8913454459726912,0.9994686336998073
THEG,1,0.2188153502906132,1,0.6306590980674347,1,0.5640786316838738,1,0.4383095589630217,1,0.5763279874926447,1,0.5123856850175249,1,0.21165866366745667,1,0.5353337617463768
THEM4,0.8179544819093566,0.9999978406741471,1.1373828163777084,0.018055717544909197,1.051046549861265,0.15217297499957846,0.8690714642519874,0.9989336764038674,1.0698714991651057,0.004536124765991444,0.9757697503682768,0.6427257729626157,1.1380788247771663,1.483634266582728E-6,0.9976289693881273,0.23645767101888185
THEM6,0.8745078664257788,0.9695157849329585,0.4062997085268364,0.9999999999997286,0.9472072273127576,0.9671921674304361,0.7908267082378737,0.9999921109272477,0.5582639280354382,1,0.6288223859693725,0.9999999999999998,0.9942339992516633,0.3944747840638043,0.8356596308203708,0.9993307986697401
THEMIS,1,0.3016552226252338,1,0.25915192250091623,1,0.25660121517812173,1,0.09004774529923049,1,0.04166075238276521,1,0.09157023267074914,1,0.360801029638408,1,0.332089408016071
THEMIS2,0.9622342288875794,0.25331988699953795,1.1085751392896674,0.04089633517745813,1.0739812667564348,0.049992733842740465,0.8816287517956835,0.8279402700558531,1.0425065163450002,0.07313880723349371,1.004277224347744,0.4649928796260244,0.6185515228211453,0.9999999980313311,0.9485822719291085,0.5177319284793968
THG1L,1.0256355155534798,0.18052556937822462,1.030592344159416,0.43277283868950683,1.0268987857157017,0.2501082266810657,1.0324452693130282,0.0604652469646132,1.0067272892508905,0.6771510759042624,0.9955600870954597,0.6055252159361957,0.9679968086643691,0.8361482953817265,1.03823271337244,0.3108945012129001
THNSL1,0.9881464510726136,0.06924908640138383,0.9976164753046272,0.844503040729951,1.0003574218463853,0.24238110242447028,0.9990954958885934,0.152987727048459,0.8927627516449307,0.9999942539662926,0.982571291070152,0.17520333147043637,0.9899779154462421,0.07428112435582687,0.9995247249924718,0.2235999073428787
THNSL2,0.9753144564285304,0.8226792678025432,1.0023816292446797,0.9369202014101157,0.5706611404593306,0.9999999999999982,0.9306978073871975,0.9789789554123272,0.6612568837075002,0.9999999999999999,0.7238048659980959,0.999999999999997,1.0101457906462508,0.04711636138575391,1.00270135487176,0.8280290714577152
THOC1,0.9490774410676999,0.9395347530353868,0.9587542732922417,0.8548697336439924,1.0474026099483023,0.07166302937384977,0.9731307758377464,0.5285065324755276,0.9465015088154436,0.9805761460691798,1.005624367224037,0.274688904307364,1.0799006567717961,3.602011851584835E-4,1.1270201539757172,0.0013873377139201224
THOC2,0.765304850748151,0.9999797868485385,1.1450194226548314,0.10837869275611807,1.1723646460035462,0.02259744557954992,0.8755198395513843,0.9766024622380065,1.1902633929930513,0.0022397615200855053,1.038646089264475,0.4747467209971191,1.4368572167927112,1.581811780617727E-11,1.3523179696853822,1.157616009718076E-4
THOC3,0.9513059403283313,0.9385489995249202,0.7803399708545083,0.9999942910703303,0.971226581200692,0.8455071034312689,0.9306563953118453,0.9966919318426432,0.783799333982781,0.9999999999999923,0.9543821633903383,0.9809589367146796,0.9236478069213816,0.9997333295572124,1.0169351170910927,0.6830976441020387
THOC5,0.9586427392375015,0.5753566988391621,0.9291158101680486,0.882037428060551,1.0520917607611047,0.22291021298951152,0.8975947961235093,0.9772720042849259,0.8358140760862989,0.9999935704165654,0.7924123700751403,0.9999997009513042,0.9456264925823354,0.8096437462058251,0.8470170529991154,0.9700972359079872
THOC6,1.0107261778255003,0.1982251805111833,1.0280230334938871,0.327476767843618,1.038575885181881,0.08917593579767305,0.9683867895522911,0.6023758859399214,0.938787536785809,0.9898070374527789,0.9340833366042194,0.9882755864889279,0.9641630586711945,0.8489350217402564,0.9996469585954072,0.4603666002082273
THOC7,0.8900891007622991,0.9624400534254781,0.9282167482504949,0.690354106204686,1.1137269376289725,0.015021054736707328,1.0318356666890627,0.07838472488153805,0.8206788981643545,0.999995912850975,1.0402503855038068,0.13011043204977266,0.9586433728686236,0.8194744306217754,1.0922870377210385,0.01317606751689382
THOP1,0.8505192384223152,0.9973575210893868,0.7434812833425981,0.9939029568507359,0.971127885264327,0.8065800569494457,0.876737956638366,0.9966508763372519,0.7745033265844955,0.9999997252600903,0.7670953840861737,0.9999998047827164,0.9294665935758685,0.9257186799516761,0.9061246897630817,0.952169808476454
THPO,1,0.429133923353057,1,0.6648058341357278,1,0.6163427637259534,1,0.41286536947309865,1,0.30078796906333505,1,0.4617374225811825,1,0.2620443897432057,1,0.4959357043914578
THRA,0.9500940190337435,0.7045019559908727,0.9826452516279784,0.43277283868950683,0.7405886714644144,0.9999924358590875,1.0459560578489682,0.06924908640138383,0.9282394414799229,0.9970044239799641,0.935285651180936,0.9922681703976478,1.0709134263943183,0.004929825387765275,0.8897833493364474,0.9934954519382017
THRAP3,0.7963415231884916,0.9999855950960496,1.048423047053944,0.0637703915767834,1.1668828118362569,0.0018078773458632953,0.9531454609066777,0.8655146565419367,1.0582617085446555,0.13360237923905383,1.0365710092953448,0.27605340534510425,1.235992099915777,4.10032255195602E-7,1.203193790818102,1.6347585013872057E-4
