"","pixel_x","pixel_y"
"32x54",602.982095162316,810.823956294412
"33x31",616.319595162316,465.286456294412
"33x37",616.294595162316,555.723956294412
"33x49",616.644595162316,735.811456294412
"33x53",616.644595162316,796.023956294412
"33x57",616.544595162316,856.286456294412
"34x32",630.357095162316,481.061456294412
"34x36",629.644595162316,541.061456294412
"34x52",630.382095162316,781.723956294412
"34x60",630.282095162316,901.923956294412
"35x31",643.744595162316,465.973956294412
"35x37",643.544595162316,556.123956294412
"35x61",643.744595162316,917.073956294412
"36x30",657.144595162316,450.823956294412
"36x32",657.357095162316,480.723956294412
"36x44",657.619595162316,661.373956294412
"36x54",656.207095162316,811.423956294412
"37x31",670.919595162316,465.848956294412
"37x35",670.332095162316,525.711456294412
"37x37",670.669595162316,555.948956294412
"37x45",670.894595162316,676.223956294412
"37x51",670.782095162316,766.386456294412
"37x53",670.332095162316,796.161456294412
"37x57",669.969595162316,856.186456294412
"38x30",683.907095162316,449.561456294412
"38x32",683.794595162316,479.436456294412
"38x36",684.232095162316,539.248956294412
"38x44",684.107095162316,659.586456294412
"38x50",683.632095162316,750.773956294412
"38x56",683.619595162316,839.848956294412
"38x58",683.894595162316,871.236456294412
"39x31",696.807095162316,464.861456294412
"39x33",697.194595162316,495.461456294412
"39x35",697.607095162316,524.923956294412
"39x37",696.682095162316,554.698956294412
"39x47",697.757095162316,704.473956294412
"39x59",697.432095162316,885.711456294412
"40x34",710.519595162316,509.911456294412
"40x50",710.682095162316,750.361456294412
"40x62",710.682095162316,931.311456294412
"41x39",724.394595162316,585.098956294412
"41x47",724.244595162316,704.386456294412
"41x49",724.082095162316,735.036456294412
"43x49",751.169595162316,735.961456294412
"43x53",751.232095162316,795.948956294412
"44x44",765.132095162316,660.611456294412
"44x48",764.819595162316,720.661456294412
"44x52",765.182095162316,780.936456294412
"44x56",764.807095162316,840.773956294412
"45x47",778.332095162316,705.698956294412
"45x49",778.319595162316,735.936456294412
"45x53",778.682095162316,796.373956294412
"45x55",778.319595162316,826.061456294412
"46x50",791.207095162316,750.373956294412
"46x52",791.507095162316,780.373956294412
"46x54",790.944595162316,810.561456294412
"47x49",804.782095162316,735.323956294412
"47x51",804.807095162316,765.123956294412
"47x53",804.919595162316,795.536456294412
"48x50",818.157095162316,750.161456294412
"50x56",844.807095162316,839.811456294412
"52x50",871.957095162316,750.261456294412
"55x61",913.294595162316,916.336456294412
"56x52",926.794595162316,781.098956294412
"57x47",939.832095162316,705.511456294412
"57x61",940.282095162316,916.423956294412
"58x48",953.294595162316,720.686456294412
"58x56",952.994595162316,841.161456294412
"58x58",953.557095162316,871.561456294412
"60x44",980.557095162316,661.148956294412
"60x62",979.757095162316,931.398956294412
"61x45",993.857095162316,675.573956294412
"62x46",1006.98209516232,689.636456294412
"62x48",1007.39459516232,719.186456294412
"62x58",1007.40709516232,869.798956294412
"63x47",1020.74459516232,704.061456294412
"63x59",1020.66959516232,885.286456294412
"64x50",1033.91959516232,750.811456294412
"65x49",1048.06959516232,734.523956294412
