Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,MYC targets v2,0.09314689986453316,0.006507843045163795,M
,NOTCH signaling,2.3431191302131373,0.49321206357153824,M
,TF,1.0003975077218816,0.012170839559115736,M
,CD8+ Tcm,0.999996826879467,0.3378104845435954,M
,NKT,0.9999826671375636,0.889745623598597,M
,Mast cells,0.9999962629333008,0.117701490215068,M
,FOXP3,0.9999959440839261,0.3201512480060319,M
,PMS1,0.9999716658016236,0.5873899966368878,M
,Apical junction,1.0001306551359292,0.1195719028926244,M
,IL-iCAF,0.9999824878907173,0.7724785135088469,M
,ATR,1.0000050412966446,0.7423507991640661,M
,CXCR4,0.9998512859258691,0.6774990757730681,M
,FLT4,1.0000310722897654,0.8213861498799963,M
,Bile acid metabolism,0.14288152326502793,0.020937221383624964,M
,DNMT3B,0.00010858343071539992,0.11402960690993802,M
,GGI,0.9999347184950836,0.09700453819804672,M
,Complement,0.9997420443806232,0.011376496884045344,M
,iDC,0.9999675761313057,0.16088422073431097,M
,BRCA2,0.9999313931024678,0.026284777235451386,M
,ERBB3,0.3694441881001631,0.001281521053293084,M
,Fatty acid metabolism,0.053168447638637276,0.009478696694140578,M
,Unnamed: 225,1.0,1.0,M
,CD137,1.000061917792283,0.01924244163244777,M
,PSMA,1.0001130404401979,0.47834095648423913,M
,Myogenesis,28.25955488939241,4.2868419528150145e-05,M
,NK cells,0.9999998078932829,0.6149539523043448,M
,Xenobiotic metabolism,0.9998208858055397,0.07277842637052279,M
,FANCA,0.9998571789677688,0.07152350734138385,M
,RB1,0.9999664380629157,0.26572153533925325,M
,Class-switched memory B-cells,0.9999834256247003,0.26572153533925325,M
,IFNAR1,0.999949622208121,0.7067155685560309,M
,CIN70,0.9999247825641159,0.09700453819804672,M
,Immune2,0.9997901199392039,0.0003276512239701861,M
,cDC,0.999978250600047,0.02523271691995801,M
,AR,0.9994622386190003,0.002896813531831797,M
,ESR1 gene,0.9999245707179722,0.0022304607775483587,M
,PALB2,0.9999812755137741,0.21802684853783771,M
,Hedgehog signaling,1.0001175137988023,0.1573659711619948,M
,AKT1,0.3880600109355179,0.20078411232903115,M
,BRCA1,0.9998285603636966,0.017668806248653433,M
,Interferon alpha response,0.13653411126524853,0.00024102628107219604,M
,Coagulation,1.0001558088793716,0.16932414898124493,M
